,County,Start Pct,End Pct,Diff Pct
73,AK-2-2130,0.0034393809114359416,0.014297177036983005,0.010857796125547063
74,IN-18-18017,0.007024783238768944,0.026093367387240315,0.019068584148471374
75,TX-48-48241,0.23358287899747743,0.17129499239565144,-0.06228788660182599
76,IN-18-18121,0.001794960303762513,0.029465712088042127,0.027670751784279614
77,OK-40-40095,0.021706484641638227,0.02605963528831937,0.004353150646681143
78,IA-19-19105,0.004017879564060067,0.02711814717091762,0.02310026760685755
79,GA-13-13149,0.23667621776504297,0.11370136060317185,-0.12297485716187112
80,NV-32-32001,0.013151389300899832,0.033388429752066115,0.020237040451166283
81,IL-17-17121,0.03608475237228649,0.050653381674013405,0.014568629301726914
82,IA-19-19069,0.0006795016987542468,0.013307430791646431,0.012627929092892185
83,OR-41-41009,0.00024572612068662897,0.010362903225806451,0.010117177105119822
